"artist","counter","filename","length","status","title"
"Tears For Fears","0","Tears For Fears - Everybody Wants To Rule The World.mp3","252","now","Everybody Wants To Rule The World"
"Europe","0","Europe - The Final Countdown.mp3","309","none","The Final Countdown"
"Alphaville","0","Alphaville - Forever Young.mp3","231","none","Forever Young"
"Journey","0","Journey - Faithfully.mp3","264","none","Faithfully"
"Joe Esposito","0","Joe Esposito - Youre The Best.mp3","184","none","Youre The Best"
"Duran Duran","0","Duran Duran - Hungry Like The Wolf.mp3","209","none","Hungry Like The Wolf"
"Cutting Crew","0","Cutting Crew - Just Died in your arms.mp3","285","none","Just Died In Your Arms Tonight"
"A-Ha","0","A-Ha - Take on Me.mp3","231","none","Take Me On"
"Peter Cetera","0","Peter Cetera - Glory Of Love.mp3","265","none","Glory Of Love"
"Bon Jovi","0","Bon Jovi - Living on a Prayer.mp3","255","none","Living On A Prayer"
"Bonnie Tyler","0","Bonnie Tyler - I Need a Hero.mp3","351","none","I Need a Hero"
"John Parr","0","John Parr - St. Elmo's Fire.mp3","256","none","St. Elmo's Fire"
"Cyndi Lauper","0","Cyndi Lauper - Time After Time.mp3","240","none","Time After Time"
"Kenny Loggins","0","Kenny Loggins - Danger Zone.mp3","213","none","Danger Zone"
"Rick Astley","0","Rick Astley - Never Gonna Give You Up.mp3","213","none","Never Gonna Give You Up"
"Fine Young Cannibals","0","Fine Young Cannibals- She Drives me Crazy.mp3","225","none","She Drives me Crazy"
"Cyndi Lauper","0","Cyndi Lauper - Girls Just Want To Have Fun.mp3","232","none","Girls Just Want To Have Fun"
"A Flock of Seagulls","0","A Flock of Seagulls - I Ran (So Far Away).mp3","220","none","I Ran (So Far Away)"
"Simple Minds","0","Simple Minds- Don't You (Forget About Me).mp3","259","none","Don't You (Forget About Me)"
"Journey","0","Journey - Don't Stop Believing.mp3","251","none","Don't Stop Believing"
